state,state_code,destination,tourism_type,best_months,good_months,avoid_months,why_best,international_draw,weather,crowd_level,description,category,image_url
Maranhão,MA,Lençóis Maranhenses,Nature / Ecotourism,June | July | August,May | September,January | February | March,Rainy season ends but lagoons still full — ideal for swimming and sandboarding,High,hot,moderate,Vast desert landscape of white sand dunes filled with crystal-clear freshwater lagoons after the rainy season. A surreal and unique ecosystem found nowhere else on Earth.,nature,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Len%C3%A7%C3%B3is_Maranhenses_2018.jpg/960px-Len%C3%A7%C3%B3is_Maranhenses_2018.jpg
Mato Grosso do Sul,MS,Pantanal,Wildlife / Ecotourism,July | August | September | October,April | May | June,November | December | January | February | March,Dry season — water levels low so wildlife concentrates. Best jaguar spotting Jul-Oct,Very High,hot,low,"The world's largest tropical wetland — a UNESCO World Heritage Site and the best place on Earth to spot jaguars in the wild. Also home to giant otters, capybaras, caimans and hundreds of bird species.",nature,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Jabiru_Mato_Grosso_Pantanal_Brazil-3.jpg/960px-Jabiru_Mato_Grosso_Pantanal_Brazil-3.jpg
Amazonas,AM,Amazon Rainforest (dry season),Nature / Ecotourism,June | July | August | September,April | May,,"The world's largest rainforest. Dry season offers easier trekking, river beaches and exceptional wildlife spotting. Base yourself in Manaus for access to jungle lodges",Very High,hot,low,"The world's largest rainforest, covering 60% of Brazil. Dry season offers easier trekking, river beaches and exceptional wildlife spotting. Base yourself in Manaus for access to jungle lodges.",nature,https://upload.wikimedia.org/wikipedia/commons/c/cc/Anavilhanas2.jpg
Amazonas,AM,Amazon Rainforest (wet season),Nature / Ecotourism,January | February | March,November | December,,Wet season — easier navigation by boat. Flora at peak. Different experience,High,hot,low,Flooded forest season — boats navigate between treetops in the iconic igapó (flooded forest). Pink river dolphins (locally known as Boto Cor-de-rosa) are more visible and the landscape is otherworldly.,nature,https://upload.wikimedia.org/wikipedia/commons/c/cc/Anavilhanas2.jpg
Pernambuco,PE,Fernando de Noronha (diving),Marine / Diving,August | September | October | November,December | January,March | April | May,Clearest waters for diving (up to 50m visibility). Spinner dolphins. Fewer tourists,Very High,warm,moderate,"Brazil's most exclusive island destination — a UNESCO marine reserve 350km offshore with the clearest waters in the South Atlantic. World-class diving with spinner dolphins, sea turtles and sharks. The island limits visitor numbers to protect the ecosystem.",beach,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Parque_Nacional_Marinho_de_Fernando_de_Noronha_-_Jo%C3%A3o_Paulo_Marques_DAndretta_12.jpg/960px-Parque_Nacional_Marinho_de_Fernando_de_Noronha_-_Jo%C3%A3o_Paulo_Marques_DAndretta_12.jpg
Pernambuco,PE,Fernando de Noronha (surfing),Surfing,January | February,,,Strong waves on the Atlantic side — surfing season,High,warm,moderate,Baía dos Porcos and Cacimba do Padre host internationally renowned surf breaks. The island limits visitor numbers to protect the ecosystem.,beach,https://upload.wikimedia.org/wikipedia/commons/2/22/Noronha_02.jpg
Rio de Janeiro,RJ,Rio de Janeiro (city),City / Culture / Beach,April | May | September | October | November,March | June | July,January | February,Shoulder season — warm but less crowded. Lower prices,Very High,warm,high,"Brazil's most iconic city — home to Christ the Redeemer, Copacabana, Ipanema, and the Sugarloaf Mountain. A vibrant mix of beach culture, samba, gastronomy and world-class nightlife.",culture,https://upload.wikimedia.org/wikipedia/commons/e/e4/Cidade_de_luz_e_cor.jpg
Rio de Janeiro,RJ,Rio de Janeiro — Carnaval,Cultural Event,February | March,,,World-famous Carnaval — major international draw,Very High,warm,very high,"The world's biggest carnival — five days of samba school parades at the Sambódromo plus street parties (blocos) across the city, filled with music and dance and vibrant costumes. An unmissable cultural spectacle.",culture,https://upload.wikimedia.org/wikipedia/commons/3/3f/Mangueira_2013_130211.jpg
Rio de Janeiro,RJ,Rio de Janeiro — Réveillon,Cultural Event,December | January,,,One of world's largest New Year celebrations,Very High,warm,very high,"The world's largest New Year's Eve celebration on Copacabana beach — over 2 million people in white gather for fireworks, live music and offerings to Iemanjá, the Afro-Brazilian goddess of the sea.",culture,https://upload.wikimedia.org/wikipedia/commons/e/ed/Rio_New_Year_Fireworks.jpg
Rio de Janeiro,RJ,Ilha Grande,Island / Beach,October | November | March | April,September | May,June | July | August,Warm water and less rain,High,warm,moderate,"Car-free island off the Rio coast — lush Atlantic forest, pristine beaches and no roads. Accessible only by boat. One of the most biodiverse coastal areas in Brazil.",beach,https://upload.wikimedia.org/wikipedia/commons/f/ff/Praia_da_Feiticeira_01.jpg
Rio de Janeiro,RJ,Búzios,Beach,October | November | December | January | February | March,September | April,June | July | August,Warm summer months,High,hot,high,"Chic coastal resort town made famous by Brigitte Bardot in the 1960s. 23 beaches, upscale restaurants and a lively nightlife strip on Rua das Pedras.",beach,https://upload.wikimedia.org/wikipedia/commons/2/25/Buzios-CasaSino.jpg
São Paulo,SP,São Paulo (city),City / Business / Culture,March | April | September | October | November,May | August,January | February | July,Mild weather,Very High,mild,high,"South America's largest city and Brazil's cultural and economic capital. World-class gastronomy, museums, architecture and the most diverse international community in the country.",city,https://upload.wikimedia.org/wikipedia/commons/7/75/Vista_a%C3%A9rea_de_la_Avenida_Paulista_de_S%C3%A3o_Paulo_05.jpg
São Paulo,SP,São Paulo — Formula 1 Grand Prix,Sports Event,November,,,Major international sports event,Very High,mild,very high,"The Brazilian Grand Prix at Interlagos is one of Formula 1's most beloved races — a fast, twisty circuit with passionate crowds and unpredictable weather.",adventure,https://upload.wikimedia.org/wikipedia/commons/6/6d/2007_Brazilian_GP_4_drivers_at_start.jpg
São Paulo,SP,Campos do Jordão,Mountain / Culture,June | July | August,May | September,,"Winter months — cool mountain air. Festival de Inverno in July features music, dance and theatre performances in the historic city centre",Medium,cool,moderate,"Brazil's highest city at 1,628m in the Serra da Mantiqueira — known as the ""Brazilian Switzerland"". Famous for its European-style architecture, fondue, and winter festival of classical music.",culture,https://upload.wikimedia.org/wikipedia/commons/3/3b/Rua_Djalma_Forjaz%2C_Campos_do_Jord%C3%A3o%2C_SP.jpg
Bahia,BA,Salvador,City / Culture / Beach,February | June | July | December,All,,Carnaval in Feb is world-class. June is Festa Junina. Dec for beaches,Very High,hot,high,"The heart of Afro-Brazilian culture — a UNESCO World Heritage city with the largest African diaspora population outside Africa. Famous for its Pelourinho historic centre, candomblé, and Carnaval.",culture,https://upload.wikimedia.org/wikipedia/commons/c/c0/Salvador_BA_%28cropped%29_2.jpg
Bahia,BA,Chapada Diamantina,Trekking / Nature,June | July | August | September | October,May | November,January | February | March,Dry season — waterfalls still flowing but trails dry. Great visibility,High,warm,low,"Stunning highland plateau in Bahia with waterfalls, caves, natural pools and dramatic canyon landscapes. A favourite for multi-day trekking and adventure tourism.",nature,https://upload.wikimedia.org/wikipedia/commons/8/84/Parque_Nacional_Chapada_Diamantina_Rafael_Cristo_Watanabe_04.jpg
Bahia,BA,Porto Seguro / Arraial d'Ajuda,Beach,October | November | December | January | February | March,September | April,," Warm and sunny weather, ideal for beach activities",High,hot,high,"Where Brazil was first discovered by the Portuguese in 1500. Beautiful beaches, a historic colonial town and a vibrant backpacker scene. One of Brazil's most popular summer destinations.",beach,https://upload.wikimedia.org/wikipedia/commons/5/5e/Porto_Seguro.1.jpg
Bahia,BA,Morro de São Paulo,Island / Beach,October | November | December | January | February | March,September | April,May | June | July | August,Summer warmth and clear water. Car-free island,High,hot,moderate,"Car-free island in Bahia accessible only by boat or small plane. Tropical beaches, clear water and a relaxed bohemian atmosphere.",beach,https://upload.wikimedia.org/wikipedia/commons/a/a5/Morro_de_S%C3%A3o_Paulo_Mirante.JPG
Ceará,CE,Jericoacoara,Beach / Kitesurf,June | July | August | September | October | November | December | January,May,,Dry season with consistent winds — world-class kitesurfing destination,Very High,hot,moderate,"Remote beach village in Ceará surrounded by dunes, lagoons and mangroves. Famous for kitesurfing, sunset viewpoints and the unique freshwater lagoon of Lagoa do Paraíso.",beach,https://upload.wikimedia.org/wikipedia/commons/5/5c/Anderps_067.JPG
Ceará,CE,Fortaleza,City / Beach,June | July | August | September,May | October,January | February | March,Dry season — sunny and breezy,High,hot,high,"Ceará's vibrant capital — lively beach promenade, excellent seafood, forró music and access to the stunning beaches of the Ceará coast.",beach,https://upload.wikimedia.org/wikipedia/commons/7/73/Fortaleza%2C_Brazil_%284%29_%28cropped%29.jpg
Paraná,PR,Foz do Iguaçu (dry season),Waterfall / Nature,August | September | October | November,June | July | December,January | February | March,Best visibility and hiking conditions. Falls still impressive,Very High,warm,high,"The most spectacular waterfall system in the world — 275 individual falls stretching 2.7km on the border of Brazil, Argentina and Paraguay. Dry season offers easier access and better walkways.",nature,https://upload.wikimedia.org/wikipedia/commons/d/d9/Parque_Nacional_do_Igua%C3%A7u_-_Ulises_Cabrera_da_Silva_15.jpg
Paraná,PR,Foz do Iguaçu (wet season),Waterfall / Nature,March | April,,,Maximum water flow — most dramatic and powerful falls,Very High,warm,moderate,Wet season brings dramatically higher water volume — the falls are at their most powerful and thunderous. The spray can be seen from kilometres away.,nature,https://upload.wikimedia.org/wikipedia/commons/d/d9/Parque_Nacional_do_Igua%C3%A7u_-_Ulises_Cabrera_da_Silva_15.jpg
Minas Gerais,MG,Ouro Preto,Colonial / Culture,April | June | July | August | September | October,March | November,,Dry season — cobblestone streets walkable. Semana Santa in April is world-famous,High,mild,moderate,"Brazil's finest example of Baroque colonial architecture — a UNESCO World Heritage city built on gold rush wealth in the 18th century. Cobblestone streets, hilltop churches and excellent cachaça.",culture,https://upload.wikimedia.org/wikipedia/commons/4/4d/Conjunto_arquitet%C3%B4nico_e_urban%C3%ADstico_de_Ouro_Preto.JPG
Minas Gerais,MG,Chapada dos Veadeiros,Trekking / Nature,May | June | July | August | September,April | October,November | December | January | February | March,Dry season — trails accessible. Waterfalls at good levels,Medium,warm,low,"High-altitude cerrado plateau in Goiás — one of Brazil's oldest and most biodiverse regions. Famous for its powerful waterfalls, quartz crystal rocks and spiritual tourism.",nature,https://upload.wikimedia.org/wikipedia/commons/5/5c/Cachoeira_da_Santa_B%C3%A1rbara.JPG
Rio Grande do Norte,RN,Natal / Pipa,Beach,June | July | August | September | October,May | November,January | February | March,Dry season — sunny and calm. Pipa is one of Brazil's most scenic beach towns,High,hot,moderate,Natal is famous for the largest cashew tree in the world and its sand dune buggy rides. Nearby Pipa is a bohemian cliff-top village with stunning beaches and dolphin-watching.,beach,https://upload.wikimedia.org/wikipedia/commons/3/39/PipaBeachView.JPG
Rio Grande do Norte,RN,Lençóis do Norte (Genipabu dunes),Nature / Beach,June | July | August | September,May | October,,Dry season — dunes accessible and buggy rides possible,Medium,hot,moderate,Massive coastal dunes near Natal where visitors ride camels and do dune buggy tours. Genipabu lagoon sits dramatically between the dunes and the sea.,nature,https://upload.wikimedia.org/wikipedia/commons/a/ae/Praia_de_Jenipabu_-_Extremoz_-_RN_-_Brasil_-_FWS-Fotos.jpg
Pará,PA,Belém — Círio de Nazaré,Cultural / Religious Event,October | November,,,Largest religious procession in the world — major cultural event,High,hot,very high,The largest religious procession in the world — over 2 million people follow the image of Our Lady of Nazaré through the streets of Belém every October. The city is also the gateway to the Amazon.,culture,https://upload.wikimedia.org/wikipedia/commons/e/e7/Come%C3%A7ando_a_subida_da_Presidente_Vargas_%284024003722%29.jpg
Pará,PA,Alter do Chão,River Beach / Nature,August | September | October,July | November,January | February | March | April,Dry season — river beaches appear. Crystal clear water in the Amazon,High,hot,low,"Known as the ""Caribbean of the Amazon"" — freshwater beaches of white sand appear along the Tapajós River in the dry season. Crystal-clear water and virtually no international crowds.",nature,https://upload.wikimedia.org/wikipedia/commons/e/ed/Alter_do_Ch%C3%A3o_486a.jpg
Santa Catarina,SC,Florianópolis,Beach / City,December | January | February | March,November | April,June | July | August,Southern hemisphere summer — warm and lively,High,warm,high,The island capital of Santa Catarina — 100 beaches ranging from surf spots to calm lagoons. Popular with Argentine tourists in summer and known for its high quality of life.,beach,https://upload.wikimedia.org/wikipedia/commons/0/09/Morro_da_Cruz%2C_Florian%C3%B3polis_-_SC%2C_Brazil_-_panoramio_%28cropped%29.jpg
Santa Catarina,SC,Blumenau — Oktoberfest,Cultural Event,October,,,Second largest Oktoberfest in the world,High,mild,very high,"The largest Oktoberfest outside Germany — held in a city founded by German immigrants in 1850. Three weeks of beer, bratwurst, traditional music and folk dancing.",culture,https://upload.wikimedia.org/wikipedia/commons/c/ca/Oktoberfest...Banda_da_Bavaria.Alemanha.Blumenau.SC.Brasil.jpg
Rio Grande do Sul,RS,Gramado / Canela,Mountain / Culture,June | July | August | December,May | September,,Winter for European-style cold and Christmas festival. Summer for nature,Medium,cool,moderate,"Charming mountain towns in Rio Grande do Sul with strong German and Italian heritage. Famous for Christmas festival with elaborate decorations, fondue, chocolate and cooler temperatures.",culture,https://cdn-clubecandeias.s3.sa-east-1.amazonaws.com/uploads/images/gramado-canela-verao-clube-candeias.jpg
Tocantins,TO,Jalapão,Trekking / Nature,May | June | July | August | September,April | October,November | December | January | February | March,Dry season — fervedouros (natural pools) accessible. Off-the-beaten-path gem,Medium,hot,low,"One of Brazil's most remote and spectacular destinations — golden sand dunes, turquoise fervedouros (natural hot springs), and wild rivers in the Tocantins cerrado. Very low tourist numbers.",nature,https://blog.assistentedeviagem.com.br/wp-content/uploads/2023/12/jalapao_-onde-fica-como-chegar-o-que-conhecer-e-mais-2.jpg
Piauí,PI,Serra da Capivara,Archaeological,May | June | July | August | September,April | October,November | December | January | February | March,Dry season — rock art sites accessible. UNESCO World Heritage Site,Low,hot,low,"UNESCO World Heritage Site in Piauí — home to the oldest evidence of human presence in the Americas (over 50,000 years old) with thousands of prehistoric rock paintings.",culture,https://upload.wikimedia.org/wikipedia/commons/a/a1/Pedra_Furada_-_Serra_da_Capivara_I.jpg
Mato Grosso,MT,Chapada dos Guimarães,Trekking / Nature,May | June | July | August | September,April | October,November | December | January | February | March,Dry season — trails accessible. Spectacular canyon and waterfalls near Cuiabá,Medium,warm,low,"A dramatic highland plateau near Cuiabá in Mato Grosso — the geodesic centre of South America. Stunning waterfalls, canyons and cerrado landscapes.",nature,https://upload.wikimedia.org/wikipedia/commons/3/37/Chapada_Guimaraes_V%C3%A9u_da_Noiva.jpg
Amazonas,AM,Festival Folclórico do Boi Bumbá — Parintins,Cultural Event,June | July,,,Largest folkloric festival in the Amazon — held in Parintins island. Two competing groups (Garantido vs Caprichoso). Major international draw growing fast,High,hot,very high,"The second largest festival in Brazil after Carnaval — a spectacular folkloric competition between two rival groups, each representing a folkloric bull: Garantido (red bull) and Caprichoso (blue bull). The competition is held on a floating arena in the Amazon river city of Parintins and draws visitors from across Brazil and abroad.",culture,https://upload.wikimedia.org/wikipedia/commons/e/e2/Boi_Garantido.jpg
Maranhão,MA,Festa Junina — São Luís,Cultural Event,June | July,,,São Luís hosts one of the most traditional Festa Juninas — deeply rooted in Maranhão culture with bumba-meu-boi traditions,High,hot,high,Maranhão hosts Brazil's most authentic Festa Junina celebrations — the Bumba Meu Boi festival is a UNESCO Intangible Cultural Heritage with elaborate costumes and traditional music.,culture,https://upload.wikimedia.org/wikipedia/commons/0/0e/Arraial_do_Pavulagem.jpg
Pernambuco,PE,Festa Junina — Caruaru,Cultural Event,June | July,,,Caruaru is considered the capital of Festa Junina — one of the largest in the world. UNESCO recognized cultural tradition,High,hot,very high,"Pernambuco's Caruaru hosts what UNESCO recognised as the world's largest Festa Junina — forró music, traditional dancing, regional food and crafts in the heart of the sertão.",culture,https://upload.wikimedia.org/wikipedia/commons/2/2b/Marcelo_Calero_conhece_o_S%C3%A3o_Jo%C3%A3o_de_Caruaru_%2827252841923%29.jpg
Paraíba,PB,Festa Junina — Campina Grande,Cultural Event,June | July,,,Campina Grande's Festa Junina rivals Caruaru — lasts the entire month of June and draws massive crowds,High,hot,very high,"Paraíba's Campina Grande rivals Caruaru for the title of world's largest Festa Junina — 30 days of forró, quadrilha dancing and regional culture.",culture,https://upload.wikimedia.org/wikipedia/commons/5/5a/24_06_2022_Visita_%C3%A0_Festa_de_S%C3%A3o_Jo%C3%A3o_do_Parque_do_Povo_%2852171053489%29.jpg
Alagoas,AL,Maceió,Beach,September | October | November | December,January | February | March | August,May | June | July,"Calm, warm urban beaches year-round. Dry season brings clearest water and least rain.",Moderate,hot,moderate,"Alagoas's vibrant capital with beautiful urban beaches, a lively waterfront and excellent seafood. The calm, emerald-green waters make it one of Brazil's most pleasant beach cities.",beach,https://upload.wikimedia.org/wikipedia/commons/3/37/Macei%C3%B3%2C_Brazil_%2848568805882%29_%28cropped%29.jpg
Alagoas,AL,Maragogi,Beach,September | October | November | December,January | February | March | August,May | June | July,Natural reef pools (galés) are at their clearest in the dry season when visibility is highest.,High,hot,moderate,Known as the Caribbean of Brazil — natural reef pools called galés create stunning turquoise lagoons of extraordinary clarity. One of Brazil's most photographed coastal destinations.,beach,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGP7MW6p328rpQw7BmQrrailZ72F9KP8J4jKvJWOTNJ_owgGHAcMgsdEe0-PCwJjJfmFc1wPa4aW-SSbCErFMwGsBCA1G_ablpvvSq6mdG0xNZiKxsP-RrlmrZ91jPQmQzGsaD28pjl4M3v=s680-w680-h510-rw
Sergipe,SE,Canion do Xingó,Nature / Trekking,June | July | August | September,April | May | October,December | January | February,Dry season makes canyon boat tours ideal — water levels are lower revealing the canyon walls at their most dramatic.,Low,hot,low,"A dramatic narrow gorge carved by the São Francisco River between Sergipe and Alagoas — best explored by boat. Towering canyon walls, turquoise water and virtually no international crowds.",adventure,https://upload.wikimedia.org/wikipedia/commons/e/e2/Rio_Sao_Francisco_pr%C3%B3ximo_a_cidade_de_Paulo_Afonso_-_BA.jpg
Sergipe,SE,Aracaju,Beach,September | October | November | December,January | February | August,May | June | July,"Dry season brings calm, clear water to Aracaju's beaches. The city is compact and very walkable.",Low,hot,low,"Brazil's most compact and walkable state capital — uncrowded beaches, a beautiful waterfront promenade and excellent local seafood. A hidden gem compared to more famous northeastern cities.",beach,https://upload.wikimedia.org/wikipedia/commons/c/c3/Telef%C3%A9rico_de_Aracaju.jpg
Espírito Santo,ES,Guarapari,Beach,November | December | January | February,March | October,June | July,Summer brings warm water and long sunny days. Beaches are calmer than Rio with less crowds.,Low,warm,moderate,"Famous for its monazite sand beaches and calm, warm waters. One of Espírito Santo's most popular beach destinations — less crowded than Rio with a relaxed coastal atmosphere.",beach,https://upload.wikimedia.org/wikipedia/commons/4/43/Guarapari_-_ES._Aerial_view_of_the_city_of_Guarapari_and_its_beaches%2C_in_Esp%C3%ADrito_Santo%2C_Brazil.jpg
Espírito Santo,ES,Pedra Azul,Nature / Trekking,June | July | August | September,April | May | October | November,December | January | February,Dry season brings clear skies that showcase the granite dome and surrounding Atlantic Forest at their best.,Low,mild,low,"A spectacular bare granite dome rising 1,822m from the Atlantic Forest — one of Espírito Santo's most dramatic landscapes. Surrounded by waterfalls, trails and a charming mountain tourism infrastructure.",adventure,https://turismodenatureza.com.br/wp-content/webp-express/webp-images/uploads/2022/11/lagoa-negra-pedra-azul-1024x683.jpg.webp
Goiás,GO,Pirenópolis,Colonial / Culture,June | July | August | September,April | May | October,December | January | February,Dry season is ideal for hiking to the many waterfalls nearby and exploring the historic streets without rain.,Low,mild,low,"One of Brazil's best-preserved colonial towns — cobblestone streets, 18th-century churches and dozens of waterfalls within easy reach. A favourite weekend escape from Brasília with a strong arts and music scene.",culture,https://upload.wikimedia.org/wikipedia/commons/2/2f/Elianec-conj._arquit._Piren%C3%B3polis_%285%29.jpg
Roraima,RR,Monte Roraima,Trekking / Nature,December | January | February | March,November | April,June | July | August,Wet season paradoxically is best — the tepui is always misty but rivers are passable and the landscape is lush.,Very High,cool,low,"One of the world's most extraordinary trekking destinations — a flat-topped tepui mountain that inspired Arthur Conan Doyle's The Lost World. Sits at the triple border of Brazil, Venezuela and Guyana. Accessible only through the Raposa Serra do Sol indigenous territory.",nature,https://upload.wikimedia.org/wikipedia/commons/3/35/Roraima3_%2879%29.JPG
Acre,AC,Rio Branco,Nature / Ecotourism,June | July | August,May | September,November | December | January | February,Dry season prevents flooding and makes forest trails and river access much easier.,Low,hot,low,Capital of Acre and gateway to deep Amazon ecotourism. Home to the legacy of Chico Mendes — the rubber tapper martyr whose fight for the Amazon is preserved in museums and reserves here.,nature,https://upload.wikimedia.org/wikipedia/commons/a/a7/PRioBranco.jpg
Acre,AC,Xapuri,Nature / Ecotourism,June | July | August,May | September,November | December | January | February,Dry season opens up forest trails in the Chico Mendes Reserve and makes river travel safer.,Low,hot,low,"Small Amazon town where Chico Mendes lived and was assassinated — a pilgrimage site for environmentalists. Authentic rubber tapper culture, forest trails and one of Brazil's most off-the-beaten-path experiences.",nature,https://s2-g1.glbimg.com/vyL2b8EOaRKWN3d3SYf6Y1zXuLg=/0x0:4640x2088/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/A/k/KWXmzGTciJm6GBTsWpyg/img-20220814-114428-1-.jpg
Rondônia,RO,Guajará-Mirim,River Beach / Nature,June | July | August | September,May | October,December | January | February | March,Dry season lowers river levels exposing beaches and making boat trips and fishing far better.,Low,hot,low,"Remote frontier town on the Bolivian border — a gateway to pristine Amazon rivers and forest. Famous for river fishing, boat trips and the historic Madeira-Mamoré railway museum.",nature,https://p2.trrsf.com.br/image/fget/cf/478/481/smart/images.terra.com/2025/11/19/593659047-guajara-14-reproducao-tripadviser.jpg
Amapá,AP,Cabo Orange National Park,Nature / Ecotourism,July | August | September | October,June | November,January | February | March | April,Dry season is the only practical time to visit — access roads and boat routes are impassable in the wet season.,Low,hot,low,"Brazil's northernmost national park — remote Amazon estuary with mangroves, sea turtles and exceptional birdlife. Virtually no tourists. One of Brazil's last true wilderness frontiers.",nature,https://nationalparksassociation.org/wp-content/uploads/2025/04/Amazonia-National-Park.jpg
Amapá,AP,Oiapoque,City / Culture,July | August | September | October,June | November,January | February | March | April,Dry season makes the road from Macapá passable and border crossing to French Guiana easier.,Low,hot,low,The northernmost city in Brazil — on the border with French Guiana across the Oiapoque River. A unique frontier town where Brazil meets the French-speaking Caribbean world.,culture,https://turismoamapa.com.br/_next/image?url=https%3A%2F%2Fstorage.googleapis.com%2Ffile_iform%2Farquivos%2Fd54e5280-127e-4eb8-a069-e42f87fca25a.jpg&w=1200&q=75
